code,name,metric,fy,basis,value,unit,source,as_of
1719,HAZAMA ANDO CORPORATION,operating_profit,FY2026,company,32000000000.0,jpy_abs,jquants,2026-05-14
1719,HAZAMA ANDO CORPORATION,dps,FY2027,company,84.0,jpy,jquants,2026-05-14
1719,HAZAMA ANDO CORPORATION,eps,FY2027,company,141.51,jpy,jquants,2026-05-14
1719,HAZAMA ANDO CORPORATION,eps,FY2027,consensus,159.63,jpy,yfinance,2026-08-27
1719,HAZAMA ANDO CORPORATION,net_profit,FY2027,company,22200000000.0,jpy_abs,jquants,2026-05-14
1719,HAZAMA ANDO CORPORATION,net_sales,FY2027,company,490000000000.0,jpy_abs,jquants,2026-05-14
1719,HAZAMA ANDO CORPORATION,net_sales,FY2027,consensus,488300000000.0,jpy_abs,yfinance,2026-08-27
1719,HAZAMA ANDO CORPORATION,operating_profit,FY2027,company,34000000000.0,jpy_abs,jquants,2026-05-14
1719,HAZAMA ANDO CORPORATION,eps,FY2028,consensus,159.63,jpy,yfinance,2026-08-27
1719,HAZAMA ANDO CORPORATION,net_sales,FY2028,consensus,488300000000.0,jpy_abs,yfinance,2026-08-27
1721,COMSYS Holdings Corporation,dps,FY2026,company,120.0,jpy,jquants,2026-05-12
1721,COMSYS Holdings Corporation,eps,FY2026,company,263.39,jpy,jquants,2026-05-12
1721,COMSYS Holdings Corporation,eps,FY2026,consensus,349.55,jpy,yfinance,2026-08-27
1721,COMSYS Holdings Corporation,net_profit,FY2026,company,31000000000.0,jpy_abs,jquants,2026-05-12
1721,COMSYS Holdings Corporation,net_sales,FY2026,company,620000000000.0,jpy_abs,jquants,2026-05-12
1721,COMSYS Holdings Corporation,net_sales,FY2026,consensus,671560000000.0,jpy_abs,yfinance,2026-08-27
1721,COMSYS Holdings Corporation,operating_profit,FY2026,company,45000000000.0,jpy_abs,jquants,2026-05-12
1721,COMSYS Holdings Corporation,dps,FY2027,company,135.0,jpy,jquants,2026-05-12
1721,COMSYS Holdings Corporation,eps,FY2027,company,327.22,jpy,jquants,2026-05-12
1721,COMSYS Holdings Corporation,eps,FY2027,consensus,370.65,jpy,yfinance,2026-08-27
1721,COMSYS Holdings Corporation,net_profit,FY2027,company,37860000000.0,jpy_abs,jquants,2026-05-12
1721,COMSYS Holdings Corporation,net_sales,FY2027,company,670000000000.0,jpy_abs,jquants,2026-05-12
1721,COMSYS Holdings Corporation,net_sales,FY2027,consensus,699960000000.0,jpy_abs,yfinance,2026-08-27
1721,COMSYS Holdings Corporation,operating_profit,FY2027,company,54000000000.0,jpy_abs,jquants,2026-05-12
1721,COMSYS Holdings Corporation,eps,FY2028,consensus,366.03,jpy,yfinance,2026-08-27
1721,COMSYS Holdings Corporation,net_sales,FY2028,consensus,695960000000.0,jpy_abs,yfinance,2026-08-27
1801,TAISEI CORPORATION,dps,FY2026,company,310.0,jpy,jquants,2026-05-14
1801,TAISEI CORPORATION,eps,FY2026,company,1007.41,jpy,jquants,2026-05-14
1801,TAISEI CORPORATION,eps,FY2026,consensus,1032.1042,jpy,yfinance,2026-08-27
1801,TAISEI CORPORATION,net_profit,FY2026,company,167000000000.0,jpy_abs,jquants,2026-05-14
1801,TAISEI CORPORATION,net_sales,FY2026,company,2090000000000.0,jpy_abs,jquants,2026-05-14
1801,TAISEI CORPORATION,net_sales,FY2026,consensus,2420927250000.0,jpy_abs,yfinance,2026-08-27
1801,TAISEI CORPORATION,operating_profit,FY2026,company,184000000000.0,jpy_abs,jquants,2026-05-14
1801,TAISEI CORPORATION,dps,FY2027,company,380.0,jpy,jquants,2026-05-14
1801,TAISEI CORPORATION,eps,FY2027,company,926.33,jpy,jquants,2026-05-14
1801,TAISEI CORPORATION,eps,FY2027,consensus,1004.73285,jpy,yfinance,2026-08-27
1801,TAISEI CORPORATION,net_profit,FY2027,company,151000000000.0,jpy_abs,jquants,2026-05-14
1801,TAISEI CORPORATION,net_sales,FY2027,company,2420000000000.0,jpy_abs,jquants,2026-05-14
1801,TAISEI CORPORATION,net_sales,FY2027,consensus,2488497507500.0,jpy_abs,yfinance,2026-08-27
1801,TAISEI CORPORATION,operating_profit,FY2027,company,188000000000.0,jpy_abs,jquants,2026-05-14
1801,TAISEI CORPORATION,eps,FY2028,consensus,1002.6043,jpy,yfinance,2026-08-27
1801,TAISEI CORPORATION,net_sales,FY2028,consensus,2488551167700.0,jpy_abs,yfinance,2026-08-27
1802,OBAYASHI CORPORATION,dps,FY2026,company,87.0,jpy,jquants,2026-05-13
1802,OBAYASHI CORPORATION,eps,FY2026,company,244.03,jpy,jquants,2026-05-13
1802,OBAYASHI CORPORATION,eps,FY2026,consensus,237.47626,jpy,yfinance,2026-08-27
1802,OBAYASHI CORPORATION,net_profit,FY2026,company,170000000000.0,jpy_abs,jquants,2026-05-13
1802,OBAYASHI CORPORATION,net_sales,FY2026,company,2570000000000.0,jpy_abs,jquants,2026-05-13
1802,OBAYASHI CORPORATION,net_sales,FY2026,consensus,2947273336240.0,jpy_abs,yfinance,2026-08-27
1802,OBAYASHI CORPORATION,operating_profit,FY2026,company,195000000000.0,jpy_abs,jquants,2026-05-13
1802,OBAYASHI CORPORATION,dps,FY2027,company,94.0,jpy,jquants,2026-05-13
1802,OBAYASHI CORPORATION,eps,FY2027,company,228.39,jpy,jquants,2026-05-13
1802,OBAYASHI CORPORATION,eps,FY2027,consensus,243.90875,jpy,yfinance,2026-08-27
1802,OBAYASHI CORPORATION,net_profit,FY2027,company,157000000000.0,jpy_abs,jquants,2026-05-13
1802,OBAYASHI CORPORATION,net_sales,FY2027,company,2945000000000.0,jpy_abs,jquants,2026-05-13
1802,OBAYASHI CORPORATION,net_sales,FY2027,consensus,3014144141240.0,jpy_abs,yfinance,2026-08-27
1802,OBAYASHI CORPORATION,operating_profit,FY2027,company,180000000000.0,jpy_abs,jquants,2026-05-13
1802,OBAYASHI CORPORATION,eps,FY2028,consensus,243.70375,jpy,yfinance,2026-08-27
1802,OBAYASHI CORPORATION,net_sales,FY2028,consensus,3013919727630.0,jpy_abs,yfinance,2026-08-27
1803,SHIMIZU CORPORATION,dps,FY2026,company,72.0,jpy,jquants,2026-05-12
1803,SHIMIZU CORPORATION,eps,FY2026,company,186.66,jpy,jquants,2026-05-12
1803,SHIMIZU CORPORATION,eps,FY2026,consensus,241.79167,jpy,yfinance,2026-08-27
