Code,MarketDiv,Name,ScaleCategory,Sector,Sector33
3222,0112,United Super Markets Holdings Inc.,TOPIX Small 1,,
3231,0111,"Nomura Real Estate Holdings,Inc.",TOPIX Mid400,,
3288,0111,"Open House Group Co.,Ltd.",TOPIX Mid400,,
3289,0111,Tokyu Fudosan Holdings Corporation,TOPIX Mid400,,
3291,0111,"Iida Group Holdings Co.,Ltd.",TOPIX Mid400,,
3349,0111,COSMOS Pharmaceutical Corporation,TOPIX Mid400,,
3360,0111,"SHIP HEALTHCARE HOLDINGS,INC.",TOPIX Mid400,,
3382,0111,"Seven & i Holdings Co.,Ltd.",TOPIX Core30,,
3387,0111,create restaurants holdings inc.,TOPIX Small 1,,
3391,0111,TSURUHA HOLDINGS INC.,TOPIX Mid400,,
3395,0111,"Saint Marc Holdings Co.,Ltd.",TOPIX Small 1,,
3397,0111,TORIDOLL Holdings Corporation,TOPIX Mid400,,
3401,0111,TEIJIN LIMITED,TOPIX Mid400,,
3402,0111,"TORAY INDUSTRIES,INC.",TOPIX Mid400,,
3405,0111,"KURARAY CO.,LTD.",TOPIX Mid400,,
3407,0111,ASAHI KASEI CORPORATION,TOPIX Large70,,
3431,0111,"MIYAJI ENGINEERING GROUP,INC.",TOPIX Small 1,,
3433,0111,"TOCALO Co.,Ltd.",TOPIX Small 1,,
3436,0111,SUMCO CORPORATION,TOPIX Mid400,,
3445,0111,"RS Technologies Co.,Ltd.",TOPIX Small 1,,
3465,0111,"KI-STAR REAL ESTATE CO.,LTD",TOPIX Small 1,,
3498,0111,"Kasumigaseki Capital Co.,Ltd.",TOPIX Small 1,,
3543,0111,"KOMEDA Holdings Co.,Ltd.",TOPIX Small 1,,
3549,0111,"KUSURI NO AOKI HOLDINGS CO.,LTD.",TOPIX Mid400,,
3563,0111,FOOD & LIFE COMPANIES LTD.,TOPIX Mid400,,
3569,0111,"SEIREN CO.,LTD.",TOPIX Small 1,,
3591,0111,WACOAL HOLDINGS CORP.,TOPIX Mid400,,
3608,0111,"TSI HOLDINGS CO.,LTD.",TOPIX Small 1,,
3612,0111,"WORLD CO.,LTD.",TOPIX Small 1,,
3626,0111,TIS Inc.,TOPIX Mid400,,
3635,0111,"KOEI TECMO HOLDINGS CO.,LTD.",TOPIX Mid400,,
3636,0111,"Mitsubishi Research Institute,Inc.",TOPIX Small 1,,
3659,0111,"NEXON Co.,Ltd.",TOPIX Mid400,,
3660,0111,istyle Inc.,TOPIX Small 1,,
3661,0111,"m-up holdings,Inc.",TOPIX Small 1,,
3668,0111,"COLOPL,Inc.",TOPIX Small 1,,
3673,0111,"Broadleaf Co.,Ltd.",TOPIX Small 1,,
3697,0111,SHIFT Inc.,TOPIX Mid400,,
3762,0111,TECHMATRIX CORPORATION,TOPIX Small 1,,
3765,0111,"GungHo Online Entertainment,Inc.",TOPIX Small 1,,
3769,0111,"GMO Payment Gateway,Inc.",TOPIX Mid400,,
3774,0111,Internet Initiative Japan Inc.,TOPIX Mid400,,
3778,0111,SAKURA internet Inc.,TOPIX Small 1,,
3844,0111,COMTURE CORPORATION,TOPIX Small 1,,
3861,0111,Oji Holdings Corporation,TOPIX Mid400,,
3863,0111,"Nippon Paper Industries Co.,Ltd.",TOPIX Small 1,,
3865,0111,Hokuetsu Corporation,TOPIX Small 1,,
3880,0111,Daio Paper Corporation,TOPIX Small 1,,
3923,0111,"RAKUS Co.,Ltd.",TOPIX Mid400,,
3941,0111,"Rengo Co.,Ltd.",TOPIX Mid400,,
3962,0111,"CHANGE Holdings,Inc.",TOPIX Small 1,,
3993,0111,PKSHA Technology Inc.,TOPIX Small 1,,
3994,0111,"Money Forward,Inc.",TOPIX Mid400,,
4004,0111,Resonac Holdings Corporation,TOPIX Mid400,,
4005,0111,"SUMITOMO CHEMICAL COMPANY,LIMITED",TOPIX Mid400,,
4008,0111,"Sumitomo Seika Chemicals Company,Limited.",TOPIX Small 1,,
4021,0111,Nissan Chemical Corporation,TOPIX Mid400,,
4023,0111,KUREHA CORPORATION,TOPIX Small 1,,
4028,0111,"ISHIHARA SANGYO KAISHA,LTD.",TOPIX Small 1,,
4041,0111,"Nippon Soda Co.,Ltd.",TOPIX Small 1,,
4042,0111,TOSOH CORPORATION,TOPIX Mid400,,
4043,0111,Tokuyama Corporation,TOPIX Mid400,,
4044,0111,"Central Glass Co.,Ltd.",TOPIX Small 1,,
4045,0111,"TOAGOSEI CO.,LTD.",TOPIX Mid400,,
4046,0111,"OSAKA SODA CO.,LTD.",TOPIX Small 1,,
4047,0111,"KANTO DENKA KOGYO CO.,LTD.",TOPIX Small 1,,
4061,0111,Denka Company Limited,TOPIX Mid400,,
4062,0111,"IBIDEN CO.,LTD.",TOPIX Mid400,,
4063,0111,"Shin-Etsu Chemical Co.,Ltd.",TOPIX Core30,,
4071,0111,"Plus Alpha Consulting Co.,LTD.",TOPIX Small 1,,
4078,0111,"Sakai Chemical Industry Co.,Ltd.",TOPIX Small 1,,
4091,0111,NIPPON SANSO HOLDINGS CORPORATION,TOPIX Mid400,,
4095,0111,"NIHON PARKERIZING CO.,LTD.",TOPIX Small 1,,
4109,0111,STELLA CHEMIFA CORPORATION,TOPIX Small 1,,
4114,0111,"NIPPON SHOKUBAI CO.,LTD.",TOPIX Mid400,,
4118,0111,KANEKA CORPORATION,TOPIX Mid400,,
4151,0111,"Kyowa Kirin Co.,Ltd.",TOPIX Mid400,,
417A,0111,"BLUE ZONES HOLDINGS CO.,LTD.",TOPIX Mid400,,
4180,0111,"Appier Group,Inc.",TOPIX Small 1,,
4182,0111,"Mitsubishi Gas Chemical Company,Inc.",TOPIX Mid400,,
4183,0111,"Mitsui Chemicals,Inc.",TOPIX Mid400,,
4186,0111,"TOKYO OHKA KOGYO CO.,LTD.",TOPIX Mid400,,
4187,0111,OSAKA ORGANIC CHEMICAL INDUSTRY LTD.,TOPIX Small 1,,
4188,0111,Mitsubishi Chemical Group Corporation,TOPIX Large70,,
4189,0111,"KH Neochem Co.,Ltd.",TOPIX Small 1,,
4194,0111,"Visional,Inc.",TOPIX Mid400,,
4202,0111,Daicel Corporation,TOPIX Mid400,,
4203,0111,"Sumitomo Bakelite Company,Limited",TOPIX Mid400,,
4204,0111,"Sekisui Chemical Co.,Ltd.",TOPIX Mid400,,
4205,0111,ZEON CORPORATION,TOPIX Mid400,,
4206,0111,"Aica Kogyo Company,Limited",TOPIX Mid400,,
4208,0111,UBE Corporation,TOPIX Mid400,,
4212,0111,Sekisui Jushi Corporation,TOPIX Small 1,,
4216,0111,ASAHI YUKIZAI CORPORATION,TOPIX Small 1,,
4272,0111,"NIPPON KAYAKU CO.,LTD.",TOPIX Mid400,,
4290,0111,Prestige International Inc.,TOPIX Small 1,,
4307,0111,"Nomura Research Institute,Ltd.",TOPIX Large70,,
4324,0111,DENTSU GROUP INC.,TOPIX Mid400,,
4368,0111,"FUSO CHEMICAL CO.,LTD.",TOPIX Small 1,,
4369,0111,Tri Chemical Laboratories Inc.,TOPIX Small 1,,
4373,0111,"Simplex Holdings,Inc.",TOPIX Small 1,,
4385,0111,"Mercari,Inc.",TOPIX Mid400,,
4401,0111,ADEKA CORPORATION,TOPIX Mid400,,
4403,0111,NOF CORPORATION,TOPIX Mid400,,
4432,0111,WingArc1st Inc.,TOPIX Small 1,,
4443,0111,"Sansan,Inc.",TOPIX Small 1,,
4452,0111,Kao Corporation,TOPIX Large70,,
4471,0111,"SANYO CHEMICAL INDUSTRIES,LTD.",TOPIX Small 1,,
4480,0111,"MEDLEY,INC.",TOPIX Small 1,,
4483,0111,JMDC Inc.,TOPIX Small 1,,
4502,0111,Takeda Pharmaceutical Company Limited,TOPIX Core30,,
4503,0111,Astellas Pharma Inc.,TOPIX Large70,,
4506,0111,"Sumitomo Pharma Co.,Ltd.",TOPIX Mid400,,
4507,0111,"Shionogi & Co.,Ltd.",TOPIX Large70,,
4516,0111,"Nippon Shinyaku Co.,Ltd.",TOPIX Mid400,,
4519,0111,"CHUGAI PHARMACEUTICAL CO.,LTD.",TOPIX Large70,,
4521,0111,"KAKEN PHARMACEUTICAL CO.,LTD.",TOPIX Small 1,,
4523,0111,"Eisai Co.,Ltd.",TOPIX Mid400,,
4527,0111,"ROHTO PHARMACEUTICAL CO.,LTD.",TOPIX Mid400,,
4528,0111,"ONO PHARMACEUTICAL CO.,LTD.",TOPIX Mid400,,
4536,0111,"SANTEN PHARMACEUTICAL CO.,LTD.",TOPIX Mid400,,
4540,0111,TSUMURA & CO.,TOPIX Mid400,,
4543,0111,TERUMO CORPORATION,TOPIX Large70,,
4544,0111,"H.U. Group Holdings,Inc.",TOPIX Mid400,,
4547,0111,"KISSEI PHARMACEUTICAL CO.,LTD.",TOPIX Small 1,,
4549,0111,"EIKEN CHEMICAL CO.,LTD.",TOPIX Small 1,,
4552,0111,"JCR Pharmaceuticals Co.,Ltd.",TOPIX Small 1,,
4553,0111,"TOWA PHARMACEUTICAL CO.,LTD.",TOPIX Small 1,,
4559,0111,"ZERIA PHARMACEUTICAL CO.,LTD.",TOPIX Small 1,,
4565,0111,"Nxera Pharma Co.,Ltd.",TOPIX Small 1,,
4568,0111,"DAIICHI SANKYO COMPANY,LIMITED",TOPIX Core30,,
4569,0111,"KYORIN Pharmaceutical Co.,Ltd.",TOPIX Small 1,,
4578,0111,"Otsuka Holdings Co.,Ltd.",TOPIX Large70,,
4587,0111,PeptiDream Inc.,TOPIX Mid400,,
