Code,Name,Shares,Sector
2428,Wellnet Corporation,18767040,Technology
2492,Infomart Corporation,266507867,Technology
2579,Coca-Cola Bottlers Japan Holdings Inc.,163810774,Consumer Defensive
2692,"ITOCHU-SHOKUHIN Co., Ltd.",12686909,Consumer Defensive
2811,"Kagome Co., Ltd.",90408585,Consumer Defensive
2892,"Nihon Shokuhin Kako Co., Ltd.",4855028,Consumer Defensive
2926,"Shinozakiya, Inc.",14157780,Consumer Defensive
3092,"ZOZO, Inc.",884325034,Consumer Cyclical
3137,"Fundely Co., Ltd.",12675000,Communication Services
3482,Loadstar Capital K.K.,16840899,Real Estate
3496,"Azoom Co.,Ltd",12272174,Real Estate
368A,N/A,40000000,Healthcare
3776,"BroadBand Tower, Inc.",61457978,Communication Services
3836,Avant Group Corporation,36014952,Technology
3839,"ODK Solutions Company, Ltd.",8194187,Technology
4220,Riken Technos Corporation,47581114,Basic Materials
4221,"Okura Industrial Co., Ltd.",11296161,Basic Materials
4248,"Takemoto Yohki Co., Ltd.",12066996,Consumer Cyclical
4308,J-Stream Inc.,24866338,Communication Services
4318,"Quick Co.,Ltd.",56121414,Industrials
4373,"Simplex Holdings, Inc.",223693624,Technology
4410,"Harima Chemicals Group, Inc.",24310225,Basic Materials
4417,Global Security Experts Inc.,15046844,Technology
4463,"Nicca Chemical Co.,Ltd.",15915633,Basic Materials
4626,"Taiyo Holdings Co., Ltd.",111280884,Basic Materials
4679,"TAYA Co.,Ltd.",7227054,Consumer Cyclical
4709,ID Holdings Corporation,33974230,Technology
4762,XNET Corporation,4179924,Technology
5208,"Arisawa Mfg. Co., Ltd.",33280740,Technology
5214,"Nippon Electric Glass Co., Ltd.",73969224,Technology
5257,"Nova System Co.,Ltd.",1400302,Technology
5280,"Yoshicon Co.,Ltd.",7025806,Real Estate
5332,TOTO LTD.,164413650,Industrials
5333,NGK Corporation,287534460,Industrials
5334,"Niterra Co., Ltd.",196260930,Consumer Cyclical
5440,Kyoei Steel Ltd.,43458927,Basic Materials
5444,"Yamato Kogyo Co., Ltd.",59928576,Basic Materials
5659,"Nippon Seisen Co.,Ltd.",30712919,Industrials
5905,Nihon Seikan k.k.,1353355,Consumer Cyclical
5938,LIXIL Corporation,287447435,Industrials
5959,"Okabe Co., Ltd.",44939575,Industrials
6080,"M&A Capital Partners Co.,Ltd.",31758580,Financial Services
6135,"Makino Milling Machine Co., Ltd.",23391841,Industrials
6185,SMN Corporation,14627033,Communication Services
6196,"Strike Group Co., Ltd.",57608286,Financial Services
6268,Nabtesco Corporation,117184523,Industrials
6325,"Takakita Co., Ltd.",11293707,Industrials
6391,Kaji Technology Corporation,1654209,Industrials
6454,"Max Co., Ltd.",179817372,Industrials
6770,"Alps Alpine Co., Ltd.",195114611,Technology
6817,Sumida Corporation,33098854,Technology
6870,"Fenwal Controls of Japan, Ltd.",5607453,Industrials
6888,Acmos Inc.,9948057,Technology
6920,Lasertec Corporation,89630673,Technology
6932,ENDO Lighting Corporation,14768618,Consumer Cyclical
6961,Enplas Corporation,8870399,Technology
6971,Kyocera Corporation,1317405992,Industrials
6981,"Murata Manufacturing Co., Ltd.",1820296192,Technology
7172,"Japan Investment Adviser Co., Ltd.",60545110,Industrials
7177,"GMO Financial Holdings, Inc.",117989318,Financial Services
7475,"ALBIS Co.,Ltd.",8355309,Consumer Defensive
7539,"AINAVO HOLDINGS Co.,Ltd.",23231428,Industrials
7600,"Japan Medical Dynamic Marketing, INC.",26353536,Healthcare
7625,"Global-Dining, Inc.",10420569,Consumer Cyclical
7741,HOYA Corporation,336785996,Healthcare
7942,JSP Corporation,26207196,Consumer Cyclical
7947,FP Corporation,80876774,Consumer Cyclical
7976,"Mitsubishi Pencil Co., Ltd.",54090835,Industrials
7981,"Takara Standard Co.,Ltd.",63231130,Consumer Cyclical
8015,Toyota Tsusho Corporation,1055776624,Industrials
8035,Tokyo Electron Limited,456817198,Technology
8056,BIPROGY Inc.,96574916,Technology
8103,Meiwa Corporation,40202787,Industrials
8133,"Itochu Enex Co.,Ltd.",112914067,Energy
8174,"Nippon Gas Co., Ltd.",106506178,Utilities
8616,"Tokai Tokyo Financial Holdings, Inc.",251659921,Financial Services
8699,"HS Holdings Co., Ltd.",30096049,Financial Services
8700,"Maruhachi Securities Co., Ltd.",3991080,Financial Services
8803,"Heiwa Real Estate Co., Ltd.",66395258,Real Estate
8898,Century21 Real Estate of Japan Ltd,10261823,Real Estate
9001,"Tobu Railway Co., Ltd.",195676771,Industrials
9020,East Japan Railway Company,1128654291,Industrials
9021,West Japan Railway Company,455083834,Industrials
9044,"NANKAI Co., Ltd.",108229911,Real Estate
9064,"Yamato Holdings Co., Ltd.",316676822,Industrials
9104,"Mitsui O.S.K. Lines, Ltd.",343466354,Industrials
9110,"NS United Kaiun Kaisha, Ltd.",23565617,Industrials
9158,CUC Inc.,29315309,Healthcare
9201,"Japan Airlines Co., Ltd.",429827724,Industrials
9202,ANA Holdings Inc.,457852647,Industrials
9206,Star Flyer Inc.,3783633,Industrials
9219,GiXo Ltd.,5596598,Technology
9301,Mitsubishi Logistics Corporation,344040271,Industrials
9362,"Hyoki Kaiun Kaisha, Ltd.",1199843,Industrials
9503,"The Kansai Electric Power Company, Incorporated",1114071606,Utilities
9506,"Tohoku Electric Power Company, Incorporated",500319440,Utilities
9507,"Shikoku Electric Power Company, Incorporated",205441666,Utilities
9508,"Kyushu Electric Power Company, Incorporated",472782937,Utilities
9511,"The Okinawa Electric Power Company, Incorporated",54315401,Utilities
9533,"Toho Gas Co., Ltd.",366267024,Utilities
9534,"Hokkaido Gas Co., Ltd.",88235270,Utilities
9687,"KSK Co.,Ltd.",6063420,Technology
9715,transcosmos inc.,37472776,Technology
9733,Nagase Brothers Inc.,26326086,Consumer Defensive
9742,INES Corporation,20813093,Technology
9914,"Uematsu Shokai Co.,Ltd.",2242142,Industrials
9962,MISUMI Group Inc.,266424273,Industrials
2148,ITmedia Inc.,19423552,Communication Services
2296,Itoham Yonekyu Holdings Inc.,56750870,Consumer Defensive
2413,"M3, Inc.",667425163,Healthcare
2480,"System Location Co.,Ltd.",3528086,Industrials
2768,Sojitz Corporation,208062584,Industrials
299A,"Kurashiru, Inc.",42154040,Communication Services
3191,"Joyful Honda Co.,Ltd.",60273915,Consumer Cyclical
4107,ISE Chemicals Corporation,50957770,Basic Materials
4206,"Aica Kogyo Company, Limited",62607005,Industrials
4565,"Nxera Pharma Co., Ltd.",90494754,Healthcare
4772,"SM ENTERTAINMENT JAPAN Co.,Ltd.",115894901,Communication Services
5832,"Chugin Financial Group,Inc.",177769636,Financial Services
5857,"ARE Holdings, Inc.",76629204,Industrials
5906,"MK Seiko Co., Ltd.",13925762,Technology
5933,Alinco Incorporated,19973254,Technology
6099,Elan Corporation,60483269,Healthcare
6141,"DMG Mori Co., Ltd.",139290974,Industrials
6420,Galilei Co. Ltd.,40093073,Industrials
6632,JVCKENWOOD Corporation,141332212,Consumer Cyclical
6724,Seiko Epson Corporation,320427879,Technology
7446,"Tohoku Chemical Co., Ltd.",900958,Basic Materials
7740,"Tamron Co.,Ltd.",161229449,Consumer Cyclical
7774,"Japan Tissue Engineering Co., Ltd.",40609950,Healthcare
