code,name,fy,metric,first_value,first_as_of,latest_value,latest_as_of,revisions
1417,MIRAIT ONE Corporation,FY2026,net_sales,620000000000.0,2025-05-13,620000000000.0,2026-02-13,0
1417,MIRAIT ONE Corporation,FY2026,operating_profit,34000000000.0,2025-05-13,34000000000.0,2026-02-13,0
1417,MIRAIT ONE Corporation,FY2026,ordinary_profit,34000000000.0,2025-05-13,34000000000.0,2026-02-13,0
1417,MIRAIT ONE Corporation,FY2027,dps,95.0,2026-05-12,95.0,2026-05-12,0
1417,MIRAIT ONE Corporation,FY2027,eps,290.79,2026-05-12,290.79,2026-05-12,0
1417,MIRAIT ONE Corporation,FY2027,net_profit,25500000000.0,2026-05-12,25500000000.0,2026-05-12,0
1417,MIRAIT ONE Corporation,FY2027,net_sales,660000000000.0,2026-05-12,660000000000.0,2026-05-12,0
1417,MIRAIT ONE Corporation,FY2027,operating_profit,40000000000.0,2026-05-12,40000000000.0,2026-05-12,0
1417,MIRAIT ONE Corporation,FY2027,ordinary_profit,40000000000.0,2026-05-12,40000000000.0,2026-05-12,0
1419,"Tama Home Co.,Ltd.",FY2025,dps,195.0,2024-07-11,195.0,2025-04-10,0
1419,"Tama Home Co.,Ltd.",FY2025,eps,317.37,2024-07-11,48.3,2025-04-10,1
1419,"Tama Home Co.,Ltd.",FY2025,net_profit,9200000000.0,2024-07-11,1400000000.0,2025-04-10,1
1419,"Tama Home Co.,Ltd.",FY2025,net_sales,235000000000.0,2024-07-11,207000000000.0,2025-04-10,1
1419,"Tama Home Co.,Ltd.",FY2025,operating_profit,13700000000.0,2024-07-11,4000000000.0,2025-04-10,1
1419,"Tama Home Co.,Ltd.",FY2025,ordinary_profit,13800000000.0,2024-07-11,3900000000.0,2025-04-10,1
1419,"Tama Home Co.,Ltd.",FY2026,dps,196.0,2025-07-11,125.0,2026-04-10,1
1419,"Tama Home Co.,Ltd.",FY2026,eps,206.98,2025-07-11,46.57,2026-04-10,1
1419,"Tama Home Co.,Ltd.",FY2026,net_profit,6000000000.0,2025-07-11,1350000000.0,2026-04-10,1
1419,"Tama Home Co.,Ltd.",FY2026,net_sales,235000000000.0,2025-07-11,209000000000.0,2026-04-10,1
1419,"Tama Home Co.,Ltd.",FY2026,operating_profit,9300000000.0,2025-07-11,4700000000.0,2026-04-10,1
1419,"Tama Home Co.,Ltd.",FY2026,ordinary_profit,9000000000.0,2025-07-11,4300000000.0,2026-04-10,1
1515,"Nittetsu Mining Co.,Ltd.",FY2025,dps,161.0,2024-08-06,216.0,2025-02-06,2
1515,"Nittetsu Mining Co.,Ltd.",FY2025,eps,402.74,2024-08-06,515.0,2025-02-06,2
1515,"Nittetsu Mining Co.,Ltd.",FY2025,net_profit,6700000000.0,2024-08-06,8500000000.0,2025-02-06,2
1515,"Nittetsu Mining Co.,Ltd.",FY2025,net_sales,181400000000.0,2024-08-06,194000000000.0,2025-02-06,2
1515,"Nittetsu Mining Co.,Ltd.",FY2025,operating_profit,7400000000.0,2024-08-06,11000000000.0,2025-02-06,2
1515,"Nittetsu Mining Co.,Ltd.",FY2025,ordinary_profit,8200000000.0,2024-08-06,11500000000.0,2025-02-06,2
1515,"Nittetsu Mining Co.,Ltd.",FY2026,dps,183.0,2025-05-12,30.0,2026-02-06,2
1515,"Nittetsu Mining Co.,Ltd.",FY2026,eps,457.57,2025-05-12,133.45,2026-02-06,2
1515,"Nittetsu Mining Co.,Ltd.",FY2026,net_profit,7200000000.0,2025-05-12,10500000000.0,2026-02-06,2
1515,"Nittetsu Mining Co.,Ltd.",FY2026,net_sales,176000000000.0,2025-05-12,205000000000.0,2026-02-06,2
1515,"Nittetsu Mining Co.,Ltd.",FY2026,operating_profit,9100000000.0,2025-05-12,16500000000.0,2026-02-06,2
1515,"Nittetsu Mining Co.,Ltd.",FY2026,ordinary_profit,9200000000.0,2025-05-12,16700000000.0,2026-02-06,2
1515,"Nittetsu Mining Co.,Ltd.",FY2027,dps,62.0,2026-05-13,62.0,2026-05-13,0
1515,"Nittetsu Mining Co.,Ltd.",FY2027,eps,152.51,2026-05-13,152.51,2026-05-13,0
1515,"Nittetsu Mining Co.,Ltd.",FY2027,net_profit,12000000000.0,2026-05-13,12000000000.0,2026-05-13,0
1515,"Nittetsu Mining Co.,Ltd.",FY2027,net_sales,232500000000.0,2026-05-13,232500000000.0,2026-05-13,0
1515,"Nittetsu Mining Co.,Ltd.",FY2027,operating_profit,14000000000.0,2026-05-13,14000000000.0,2026-05-13,0
1515,"Nittetsu Mining Co.,Ltd.",FY2027,ordinary_profit,11500000000.0,2026-05-13,11500000000.0,2026-05-13,0
1518,"MITSUI MATSUSHIMA HOLDINGS CO.,LTD.",FY2025,dps,100.0,2024-08-09,130.0,2025-02-14,1
1518,"MITSUI MATSUSHIMA HOLDINGS CO.,LTD.",FY2025,eps,503.32,2024-08-09,679.94,2025-02-14,1
